,year,month,day,hour,minute,second,lat,lon,depth_km,mag
188,1970,7,10,16,59,0,-9.1279,-78.7951,35000.0,4.77
189,1970,7,10,17,43,57,-33.1859,-71.8347,15000.0,4.71
190,1970,7,12,8,6,23,-23.263,-68.39,102065.4,5.42
191,1970,7,12,18,13,55,-15.8779,-69.6078,250000.0,4.8
192,1970,7,14,22,4,46,-10.3397,-78.9992,50000.0,4.99
193,1970,7,16,0,53,4,-21.4813,-68.421,118000.0,4.45
194,1970,7,16,23,57,3,-11.0793,-76.4913,121601.5,4.87
195,1970,7,17,17,50,0,-1.7915,-77.3092,184140.9,5.03
196,1970,7,18,19,58,45,-0.0124,-78.5038,11000.0,4.75
197,1970,7,19,8,13,21,3.8213,-82.9922,10000.0,4.5
198,1970,7,20,17,44,58,6.8165,-73.0513,156530.7,4.99
199,1970,7,24,23,10,6,-16.2598,-72.4232,100000.0,4.6
200,1970,7,26,7,2,19,-25.8845,-71.8513,19375.6,5.13
201,1970,7,28,8,59,54,-25.1179,-69.2421,106192.7,4.64
202,1970,7,28,23,6,27,-44.5598,-79.2814,35000.0,4.81
203,1970,7,31,3,24,49,-36.6213,-70.5231,164026.2,4.64
204,1970,7,31,17,8,5,-1.505,-72.5187,647079.9,6.82
205,1970,8,3,21,8,47,5.1553,-82.5819,12000.0,4.8
206,1970,8,4,19,41,4,-28.3938,-67.5477,130000.0,4.74
207,1970,8,4,21,50,55,-25.8737,-69.095,72158.2,4.3
208,1970,8,4,23,17,50,-9.559,-78.5179,43562.2,4.38
209,1970,8,5,5,25,59,-9.217,-79.0099,70550.3,5.72
210,1970,8,5,15,53,50,-33.2413,-70.2593,110000.0,4.58
211,1970,8,6,3,55,38,5.5477,-76.1805,35000.0,4.15
212,1970,8,7,9,18,28,-24.2762,-67.2937,169332.3,4.99
213,1970,8,9,2,20,10,-10.1301,-78.9176,50000.0,4.63
214,1970,8,11,6,1,33,-9.6297,-78.9159,41285.2,4.82
215,1970,8,14,5,41,39,-10.8624,-78.9444,24000.0,4.5
216,1970,8,15,5,12,58,-21.4264,-69.1401,130000.0,4.44
217,1970,8,16,16,22,54,-23.2558,-68.8579,93388.9,4.85
218,1970,8,20,15,19,33,-28.5002,-67.502,132701.5,5.08
219,1970,8,24,3,27,2,-27.8662,-66.5861,153080.7,4.65
220,1970,8,27,8,22,51,-4.1187,-76.5359,116181.0,4.65
221,1970,8,28,2,46,52,-27.7232,-70.2938,68274.5,4.66
222,1970,8,28,13,10,42,-28.7682,-67.0813,135000.0,4.64
223,1970,8,29,2,59,43,7.5679,-72.0057,14000.0,4.74
224,1970,8,31,9,37,32,-22.0892,-68.9946,107556.8,4.5
225,1970,9,3,21,11,59,-28.7374,-71.4429,35000.0,4.7
226,1970,9,4,19,17,10,-22.6586,-68.9568,96374.8,4.41
227,1970,9,5,8,59,44,-37.99,-73.461,35000.0,4.9
228,1970,9,8,8,44,36,-9.6771,-79.2325,70000.0,4.8
229,1970,9,9,11,53,14,-19.7657,-70.2414,44000.0,4.82
230,1970,9,10,19,40,27,-27.0777,-70.9888,27232.0,5.26
